Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,PCLK,Channel 15
11.359683416,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359758616,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1
11.359761984,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1
11.359770824,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1
11.359772880,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1
11.359776440,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1
11.359783856,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1
11.359787688,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1
11.359928944,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1
11.359928952,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359928976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359929096,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359929480,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359929592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359929976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359930096,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359930480,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359930592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359930976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359931096,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359931480,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359931592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359931976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359932096,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359932480,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359932592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359932976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359933096,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
